"AngoloDiTrasmissione"
"Tempo (sec)","Spostamento angolare4 (deg)"
0,47.657656028289
0.04,46.828975205623
0.08,46.0105429037122
0.12,45.2017435545424
0.16,44.4020102509363
0.2,43.6108193264246
0.24,42.8276856765718
0.28,42.0521587012592
0.32,41.2838187698469
0.36,40.5222741288996
0.4,39.7671581863166
0.44,39.0181271170552
0.48,38.2748577447958
0.52,37.5370456613392
0.56,36.8044035515953
0.6,36.0766596970113
0.64,35.3535566343971
0.68,34.6348499505189
0.72,33.9203071956663
0.76,33.209706901777
0.8,32.5028376926939
0.84,31.7994974758121
0.88,31.0994927057945
0.92,30.4026377122436
0.96,29.7087540842444
1,29.0176701055748
1.04,28.3292202351314
1.08,27.6432446277688
1.12,26.9595886913089
1.16,26.2781026759565
1.2,25.5986412927813
1.24,24.9210633582828
1.28,24.2452314623748
1.32,23.5710116573997
1.36,22.898273166021
1.4,22.2268881060535
1.44,21.556731230474
1.48,20.8876796810116
1.52,20.2196127538618
1.56,19.5524116761856
1.6,18.8859593921639
1.64,18.2201403574689
1.68,17.5548403410957
1.72,16.8899462335633
1.76,16.225345860557
1.8,15.5609278011309
1.84,14.8965812096329
1.88,14.2321956405468
1.92,13.5676608754735
1.96,12.9028667514939
2,12.2377029901662
2.04,11.5720590264215
2.08,10.9058238366176
2.12,10.2388857650096
2.16,9.57113234787933
2.2,8.90245013455184
2.24,8.23272450449853
2.28,7.56183947969546
2.32,6.88967753136645
2.36,6.21611938019197
2.4,5.54104378900777
2.44,4.8643273469522
2.48,4.18584424394467
2.52,3.50546603428727
2.56,2.8230613880825
2.6,2.13849582904224
2.64,1.45163145713094
2.68,0.762326654333168
2.72,0.0704357716641537
2.76,-0.624191204657496
2.8,-1.32170901018114
2.84,-2.02227748490353
2.88,-2.72606198451714
2.92,-3.43323382342694
2.96,-4.14397075312437
3,-4.85845747995691
3.04,-5.57688622684699
3.08,-6.2994573441143
3.12,-7.02637997524509
3.16,-7.7578727842617
3.2,-8.4941647522792
3.24,-9.23549605193682
3.28,-9.98211900967567
3.32,-10.7342991673475
3.36,-11.4923164564266
3.4,-12.2564665002125
3.44,-13.0270620619293
3.48,-13.8044346596329
3.52,-14.5889363724482
3.56,-15.3809418669975
3.6,-16.180850678148
3.64,-16.9890897846008
3.68,-17.8061165276743
3.72,-18.6324219312571
3.76,-19.4685344928129
3.8,-20.315024530141
