"Compressione"
"Tempo (sec)","Distanza7 (mm)"
0,632.385062126361
0.04,631.313645320125
0.08,630.226978203898
0.12,629.1251116438
0.16,628.008091582417
0.2,626.875959090042
0.24,625.728750410782
0.28,624.566497003563
0.32,623.389225578109
0.36,622.19695812592
0.4,620.98971194631
0.44,619.767499667499
0.48,618.530329262799
0.52,617.278204061889
0.56,616.011122757155
0.6,614.729079405102
0.64,613.432063422798
0.68,612.120059579294
0.72,610.793047981991
0.76,609.451004057873
0.8,608.093898529538
0.84,606.721697385924
0.88,605.334361847641
0.92,603.931848326782
0.96,602.514108381086
1,601.081088662303
1.04,599.632730858589
1.08,598.168971630778
1.12,596.689742542293
1.16,595.194969982515
1.2,593.684575083349
1.24,592.15847362874
1.28,590.616575956856
1.32,589.05878685462
1.36,587.485005444281
1.4,585.89512506164
1.44,584.289033125563
1.48,582.666610998333
1.52,581.027733836407
1.56,579.372270431076
1.6,577.700083038476
1.64,576.011027198397
1.68,574.304951541235
1.72,572.581697582434
1.76,570.841099503655
1.8,569.082983919899
1.84,567.3071696317
1.88,565.513467361465
1.92,563.701679472938
1.96,561.871599672682
2,560.023012692386
2.04,558.15569395068
2.08,556.269409193057
2.12,554.363914108337
2.16,552.438953919998
2.2,550.494262950524
2.24,548.52956415677
2.28,546.544568634139
2.32,544.538975087156
2.36,542.512469263814
2.4,540.464723350779
2.44,538.395395326273
2.48,536.304128267137
2.52,534.190549606204
2.56,532.054270335708
2.6,529.894884152047
2.64,527.711966536639
2.68,525.505073767132
2.72,523.273741852504
2.76,521.01748538493
2.8,518.735796300439
2.84,516.428142539461
2.88,514.093966597322
2.92,511.73268395351
2.96,509.343681367191
3,506.926315024865
3.04,504.479908524214
3.08,502.003750676157
3.12,499.497093104682
3.16,496.959147621243
3.2,494.38908334727
3.24,491.786023554581
3.28,489.149042189035
3.32,486.477160037621
3.36,483.769340493068
3.4,481.02448486284
3.44,478.241427160885
3.48,475.418928310268
3.52,472.55566967269
3.56,469.650245806257
3.6,466.70115633518
3.64,463.706796793703
3.68,460.665448280401
3.72,457.575265726927
3.76,454.434264545811
3.8,451.240305372773
