"Forcellone"
"Tempo (sec)","Distanza5 (mm)"
0,-228.781474428088
0.04,-224.289318655916
0.08,-219.78348645105
0.12,-215.263973873234
0.16,-210.730774351153
0.2,-206.183878676134
0.24,-201.623274993262
0.28,-197.048948789959
0.32,-192.460882881951
0.36,-187.859057396622
0.4,-183.243449753687
0.44,-178.614034643181
0.48,-173.970784000677
0.52,-169.313666979692
0.56,-164.642649921217
0.6,-159.957696320296
0.64,-155.258766789577
0.68,-150.545819019751
0.72,-145.818807736782
0.76,-141.077684655823
0.8,-136.322398431717
0.84,-131.552894605936
0.88,-126.769115549878
0.92,-121.971000404295
0.96,-117.158485014802
1,-112.331501863216
1.04,-107.489979994591
1.08,-102.633844939738
1.12,-97.7630186330502
1.16,-92.877419325366
1.2,-87.9769614916766
1.24,-83.0615557334005
1.28,-78.1311086749299
1.32,-73.1855228542017
1.36,-68.2246966069179
1.4,-63.2485239441034
1.44,-58.2568944226377
1.48,-53.2496930083226
1.52,-48.2267999311147
1.56,-43.1880905319962
1.6,-38.1334351010397
1.64,-33.0626987061034
1.68,-27.9757410115669
1.72,-22.8724160865174
1.76,-17.7525722016637
1.8,-12.6160516142907
1.84,-7.46269034041378
1.88,-2.29231791332033
1.92,2.89524287247099
1.96,8.10017623281284
2,13.3226736822025
2.04,18.562934339943
2.08,23.8211652554582
2.12,29.0975817541681
2.16,34.3924078055273
2.2,39.7058764148436
2.24,45.0382300407562
2.28,50.3897210403765
2.32,55.7606121443204
2.36,61.1511769640238
2.4,66.5617005340157
2.44,71.9924798921031
2.48,77.4438247006709
2.52,82.9160579126338
2.56,88.4095164860414
2.6,93.9245521516167
2.64,99.4615322381066
2.68,105.02084056077
2.72,110.602878378972
2.76,116.208065429536
2.8,121.836841043232
2.84,127.489665352703
2.88,133.16702060113
2.92,138.869412562017
2.96,144.597372081858
3,150.351456758904
3.04,156.132252772937
3.08,161.940376883047
3.12,167.77647861257
3.16,173.641242643127
3.2,179.535391442707
3.24,185.459688156447
3.28,191.414939792914
3.32,197.402000743703
3.36,203.421776680082
3.4,209.475228877256
3.44,215.563379025177
3.48,221.687314594633
3.52,227.84819483914
3.56,234.047257527371
3.6,240.285826518081
3.64,246.565320310297
3.68,252.887261727116
3.72,259.253288922759
3.76,265.665167941329
3.8,272.124807103824
