"Movente"
"Tempo (sec)","Spostamento angolare1 (deg)"
0,-20.8619311722642
0.04,-20.403560046779
0.08,-19.9451595816294
0.12,-19.4867004202456
0.16,-19.0281531722175
0.2,-18.5694883963083
0.24,-18.1106765833848
0.28,-17.6516881392398
0.32,-17.1924933672762
0.36,-16.7330624510266
0.4,-16.2733654364783
0.44,-15.8133722141745
0.48,-15.3530525010611
0.52,-14.8923758220491
0.56,-14.4313114912594
0.6,-13.9698285929178
0.64,-13.5078959618653
0.68,-13.0454821636497
0.72,-12.5825554741597
0.76,-12.1190838587644
0.8,-11.6550349509182
0.84,-11.1903760301885
0.88,-10.7250739996623
0.92,-10.2590953626863
0.96,-9.79240619889095
1,-9.32497213944862
1.04,-8.85675834151034
1.08,-8.38772946176551
1.12,-7.91784962906348
1.16,-7.44708241603355
1.2,-6.97539080963511
1.24,-6.50273718056623
1.28,-6.02908325145384
1.32,-5.55439006374409
1.36,-5.0786179432055
1.4,-4.60172646395215
1.44,-4.12367441088773
1.48,-3.64441974046377
1.52,-3.16391953963843
1.56,-2.68212998291407
1.6,-2.19900628732161
1.64,-1.71450266521213
1.68,-1.22857227470294
1.72,-0.741167167616003
1.76,-0.252238234732046
1.8,0.238264851828899
1.84,0.730393699306103
1.88,1.22420125829719
1.92,1.71974189029824
1.96,2.21707143904499
2,2.71624730593773
2.04,3.21732852985653
2.08,3.72037587170107
2.12,4.22545190401799
2.16,4.73262110611237
2.2,5.2419499650758
2.24,5.75350708320373
2.28,6.26736329231953
2.32,6.78359177557239
2.36,7.30226819733068
2.4,7.82347084185486
2.44,8.34728076150167
2.48,8.87378193528873
2.52,9.40306143873395
2.56,9.93520962598105
2.6,10.4703203253302
2.64,11.0084910494153
2.68,11.5498232214057
2.72,12.0944224187673
2.76,12.6423986362918
2.8,13.1938665703038
2.84,13.7489459261824
2.88,14.3077617515917
2.92,14.8704447981114
2.96,15.4371319142959
3,16.0079664735799
3.04,16.5830988408951
3.08,17.1626868823779
3.12,17.7468965231488
3.16,18.3359023588316
3.2,18.9298883272931
3.24,19.5290484480244
3.28,20.1335876376873
3.32,20.7437226116524
3.36,21.3596828828822
3.4,21.9817118713322
3.44,22.6100681391954
3.48,23.2450267698952
3.52,23.8868809118169
3.56,24.5359435114892
3.6,25.1925492654268
3.64,25.8570568253185
3.68,26.529851297939
3.72,27.2113470893885
3.76,27.9019911534379
3.8,28.6022667164186
