"Cedente"
"Tempo (sec)","Spostamento angolare2 (deg)"
0,14.6150206869348
0.04,14.8234781322911
0.08,15.0337921262309
0.12,15.245954943647
0.16,15.4599595792212
0.2,15.6757997410206
0.24,15.8934698448224
0.28,16.1129650091636
0.32,16.3342810511128
0.36,16.5574144827606
0.4,16.7823625084285
0.44,17.009123022597
0.48,17.2376946085554
0.52,17.4680765377765
0.56,17.700268770023
0.6,17.9342719541914
0.64,18.170087429903
0.68,18.4077172298529
0.72,18.6471640829283
0.76,18.8884314181118
0.8,19.1315233691848
0.84,19.3764447802506
0.88,19.6232012120958
0.92,19.8717989494149
0.96,20.1222450089221
1,20.374547148378
1.04,20.6287138765613
1.08,20.8847544642198
1.12,21.1426789560361
1.16,21.4024981836469
1.2,21.66422377976
1.24,21.9278681934145
1.28,22.1934447064354
1.32,22.4609674511361
1.36,22.7304514293297
1.4,23.0019125327119
1.44,23.2753675646847
1.48,23.5508342636972
1.52,23.8283313281832
1.56,24.1078784431847
1.6,24.3894963087547
1.64,24.6732066702441
1.68,24.9590323505824
1.72,25.2469972846736
1.76,25.5371265560376
1.8,25.829446435839
1.84,26.1239844244567
1.88,26.4207692957616
1.92,26.7198311442827
1.96,27.0212014354598
2,27.324913059196
2.04,27.631000386944
2.08,27.9394993325804
2.12,28.2504474173459
2.16,28.5638838391533
2.2,28.8798495465962
2.24,29.1983873180198
2.28,29.5195418460515
2.32,29.8433598280269
2.36,30.1698900627903
2.4,30.499183554395
2.44,30.8312936232842
2.48,31.1662760255911
2.52,31.5041890812627
2.56,31.8450938117902
2.6,32.1890540884078
2.64,32.5361367917209
2.68,32.886411983827
2.72,33.2399530941172
2.76,33.5968371200789
2.8,33.9571448445779
2.84,34.320961071271
2.88,34.6883748800051
2.92,35.0594799042823
2.96,35.4343746331386
3,35.8131627400801
3.04,36.1959534420706
3.08,36.5828618919636
3.12,36.9740096082325
3.16,37.3695249463955
3.2,37.7695436171512
3.24,38.1742092569769
3.28,38.5836740577943
3.32,38.9980994633165
3.36,39.4176569408769
3.4,39.8425288389489
3.44,40.2729093422363
3.48,40.7090055382158
3.52,41.1510386114044
3.56,41.5992451845118
3.6,42.0538788291305
3.64,42.5152117728621
3.68,42.9835368349712
3.72,43.4591696290459
3.76,43.9424510790367
3.8,44.4337503048772
