"Molla"
"Tempo (sec)","Distanza6 (mm)"
0,414.080392611001
0.04,412.752106458032
0.08,411.415543852395
0.12,410.070694123132
0.16,408.717544212692
0.2,407.35607868516
0.24,405.986279732192
0.28,404.608127176623
0.32,403.221598473762
0.36,401.826668710386
0.4,400.423310601424
0.44,399.011494484325
0.48,397.591188311108
0.52,396.162357638074
0.56,394.724965613157
0.6,393.278972960896
0.64,391.824337965
0.68,390.361016448463
0.72,388.888961751203
0.76,387.408124705164
0.8,385.918453606849
0.84,384.419894187213
0.88,382.912389578864
0.92,381.3958802805
0.96,379.870304118509
1,378.335596205654
1.04,376.791688896742
1.08,375.238511741206
1.12,373.675991432469
1.16,372.104051754003
1.2,370.522613521942
1.24,368.931594524136
1.28,367.330909455501
1.32,365.720469849507
1.36,364.100184005663
1.4,362.469956912805
1.44,360.829690168019
1.48,359.179281890991
1.52,357.518626633578
1.56,355.847615284364
1.6,354.166134967972
1.64,352.474068938849
1.68,350.771296469265
1.72,349.05769273121
1.76,347.333128671872
1.8,345.597470882352
1.84,343.850581459241
1.88,342.092317858662
1.92,340.322532742343
1.96,338.541073815267
2,336.747783654409
2.04,334.942499528002
2.08,333.125053204794
2.12,331.295270752644
2.16,329.452972325812
2.2,327.597971940216
2.24,325.730077235879
2.28,323.849089225726
2.32,321.954802029829
2.36,320.047002594107
2.4,318.125470392428
2.44,316.189977110953
2.48,314.240286313467
2.52,312.276153086336
2.56,310.297323661621
2.6,308.303535016716
2.64,306.29451444877
2.68,304.269979121972
2.72,302.229635585597
2.76,300.173179260526
2.8,298.100293891737
2.84,296.010650964004
2.88,293.903909077787
2.92,291.779713281992
2.96,289.637694359942
3,287.477468064513
3.04,285.298634297997
3.08,283.100776231745
3.12,280.883459360138
3.16,278.64623048281
3.2,276.388616608397
3.24,274.110123772285
3.28,271.810235759991
3.32,269.488412726791
3.36,267.144089703096
3.4,264.776674973791
3.44,262.385548318251
3.48,259.97005909607
3.52,257.529524161563
3.56,255.06322558786
3.6,252.57040817876
3.64,250.050276743485
3.68,247.501993105896
3.72,244.924672815573
3.76,242.317381523245
3.8,239.679130977267
